clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
5,Neat1,0.0027823269890865678,3.0,0.9346405228758171
5,Prr5l,0.0022034358238698097,4.0,0.9264705882352942
5,D7Ertd443e,0.005341496695494337,2.0,0.9215686274509803
5,Mog,0.001961740172637143,2.0,0.9215686274509803
5,Ugt8a,0.004642158425890726,2.0,0.9019607843137255
5,Erbb4,0.0020668583824744223,5.0,0.6980392156862744
5,St6galnac3,0.00224501597278613,3.0,0.43790849673202625
5,Magi2,0.0020338117526366665,17.0,0.12745098039215685
6,Homer3,0.008433966396435864,1.0,1.0
6,Mndal,0.007339253528419115,2.0,0.9803921568627451
6,Nectin3,0.007621412127191946,16.0,0.9779411764705882
6,Rerg,0.012439624899425008,4.0,0.9705882352941176
6,Dpf3,0.010982033932532333,5.0,0.96078431372549
6,Gm32647,0.006939879682347831,17.0,0.9596309111880046
6,Ccbe1,0.009166513239184156,11.0,0.9536541889483066
6,Grik4,0.013280029661851423,20.0,0.935294117647059
6,Trps1,0.007314064493759753,55.0,0.9333333333333332
6,Tafa1,0.009276814086818791,94.0,0.9049853984146852
7,4921539H07Rik,0.009062084173778118,4.0,0.9852941176470589
7,Stac,0.004259229157795336,2.0,0.9705882352941176
7,Ndst4,0.005710742668664094,6.0,0.9150326797385622
7,Gm2164,0.0064846705551916805,6.0,0.9117647058823528
7,Hs6st3,0.00487632558785303,56.0,0.8025210084033614
7,Galntl6,0.004075196843493808,75.0,0.797516339869281
7,Kcnh7,0.005810979499061885,44.0,0.7767379679144386
7,Ppm1e,0.007260072149477057,28.0,0.7443977591036415
7,Fgf14,0.006445040700679887,20.0,0.23431372549019605
7,Cacna1c,0.005175543129833398,3.0,0.22222222222222227
8,Trpc6,0.00770673063573613,7.0,0.9271708683473389
8,Bdnf,0.004383314697659051,1.0,0.9215686274509803
8,Gsg1l,0.004905988037496336,1.0,0.9019607843137255
8,Stxbp6,0.00646930949483137,11.0,0.893048128342246
8,Ntng1,0.004016291240777465,8.0,0.803921568627451
8,Mapk4,0.00352305952065867,2.0,0.7401960784313726
8,Zbtb20,0.0036449162016467585,32.0,0.6770833333333334
8,Nrg1,0.0039024000175833513,9.0,0.5729847494553378
8,Dgkb,0.004579195270250094,10.0,0.5558823529411765
8,Sorcs3,0.005402828308010432,1.0,0.5490196078431373
9,Anln,0.004895951982163704,1.0,0.9607843137254902
9,A330049N07Rik,0.003628849115608239,1.0,0.9607843137254902
9,Neat1,0.0023966683999455296,3.0,0.9346405228758171
9,Prr5l,0.0023640904918003068,3.0,0.9084967320261438
9,Ugt8a,0.00245001005356419,2.0,0.9019607843137255
9,Spock3,0.00213030335407913,2.0,0.47058823529411764
9,Dgki,0.0022142625055404834,2.0,0.19607843137254902
9,Auts2,0.0020476967267323053,1.0,0.0392156862745098
10,Neat1,0.0024208289787048883,2.0,0.9215686274509803
10,Prr5l,0.0020351110321327488,3.0,0.9084967320261438
10,Ugt8a,0.0017160813817576376,1.0,0.8823529411764706
10,Mbp,0.0018386479936588805,8.0,0.8431372549019608
10,Edil3,0.0017451253465456098,6.0,0.35784313725490197
10,Nkain2,0.00197472217629999,17.0,0.1810841983852364
10,Pcdh9,0.0016475161069972424,27.0,0.08061002178649236
