clusterName,clusterSize,f_score,PPV,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,cluster,,,
34,502,0.511921458625526,0.632034632034632,48267,85,356,146,4,Gfra2|Il1rapl2|Pou6f2|Dpp10,Hs3st2|Gfra2|Il1rapl2|Pou6f2|Satb2|Dpp10|Cobl|Hs3st5|Zfp804b|Mef2c,L5/6,IT,TPE-ENT,
35,453,0.575888051668461,0.899159663865546,48389,12,346,107,4,Dcn|6530403H02Rik|Ntng1|Reln,Dcn|Col23a1|6530403H02Rik|Ntng1|Reln|Kirrel3|Pcdh7|Nrg1|Frmpd4|Nrxn3,IT,HATA,,
36,446,0.773427471116816,0.866906474820144,48371,37,205,241,2,Adarb2|Cnr1,Pde3a|Syt6|Adarb2|Igf1|Col25a1|Cnr1|Gm45323|Col19a1|4930555F03Rik|Npas3,Cck,,,
37,422,0.758232235701907,0.956284153005464,48424,8,247,175,2,Hapln1|Dchs2,Frem1|Hapln1|Mctp2|Dchs2|Lamp5|Id2|Egfr|Pde11a|Zfp804b|Gad1,Lamp5,Lhx6,,
38,406,0.72744014732965,0.929411764705882,48436,12,248,158,2,Strip2|Asph,Map3k15|Gm43154|Strip2|Ntsr2|Asph|Wipf3|Zfp804a|Stxbp5l|Tafa5|Srgap2,CA2,,,
39,400,0.59419014084507,0.733695652173913,48405,49,265,135,5,Rnf152|Unc13c|Dpp10|Nrg1|Nell1,Rnf152|Unc13c|Tox|Dpp10|Nrg1|Nell1|Grid2|Zfpm2|Kcnip4|Celf2,L2,IT,RSPv-,POST-PRE
40,342,0.636856368563686,0.949494949494949,48507,5,248,94,2,9330185C12Rik|Plch1,Cd44|9330185C12Rik|Plch1|Gm20063|Gm49906|Atp10a|Ntng1|Zfp804b|Trps1|Gria4,L3,IT,ENTm,
41,328,0.582932692307692,0.76984126984127,48497,29,231,97,4,Tll1|Pcdh11x|Tox|Inpp4b,Gm19410|Tll1|Pcdh11x|Tox|Inpp4b|Cdh20|Dpp10|Erc2|Adgrb3|Fam155a,L2,IT,Apr,
42,317,0.881883479648843,0.944444444444444,48524,13,96,221,2,Ndnf|Dach1,Trp73|Ebf3|Ndnf|Dach1|Reln|Cacna2d2|Pdzd2|Kcnh7|Clstn2|Bcl11a,CR,,,
43,292,0.808189655172414,0.943396226415094,48553,9,142,150,2,Egfr|Ndnf,Egfr|Pld5|Ndnf|Sv2c|Kit|Gm16070|Reln|Igf1|Fgf13|Adarb2,Lamp5,,,
44,234,0.896130346232179,0.941176470588235,48609,11,58,176,1,Csf2rb2,Csf2rb2|Calb2|Prrx1|4930467D21Rik|Gm32647|Trpc7|Myo1b|Crispld1|Tmem132c|Bmpr1b,CA4,,,
45,211,0.718592964824121,0.729591836734694,48590,53,68,143,1,Ccn2,Ccn2|Col8a1|Galnt10|Rai14|Osbpl10|Tle4|Gm49678|Gm45323|C130073E24Rik|Etl4,L6b,ENT,,
46,191,0.200262639527249,0.183183183183183,48391,272,130,61,3,Slc1a3|Plpp3|Rgs20,Gli3|Slc1a3|Slco1c1|Atp1a2|Plpp3|Rgs20|Apoe|Glis3|Lsamp|Il1rap,Astro-2,,,
47,176,0.804597701149425,0.861538461538462,48660,18,64,112,1,Mrc1,Mrc1|F13a1|Dab2|Aoah|Stab1|Rbpj|Slc9a9,PVM,,,
48,157,0.829228243021347,0.893805309734513,48685,12,56,101,1,Bcas1os2,Bcas1os2|9630013A20Rik|Cnksr3|Arhgap24|Mpzl1|Enpp6|Tns3|Itpr2|Chn2|Fyn,COP,,,
