clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
8,Cux2,0.0033833298597040332,3.0,0.8205128205128205
8,Cdh12,0.002769269259934842,18.0,0.8066239316239316
9,D7Ertd443e,0.00619989169219904,1.0,0.9230769230769231
9,Mag,0.00466892612445144,1.0,0.9230769230769231
9,Plp1,0.007873771494929632,13.0,0.8979289940828402
9,mt-Co3,0.009738185964269275,3.0,0.0
9,mt-Atp6,0.00951514814543304,2.0,0.0
9,mt-Co2,0.008633503751749901,2.0,0.0
9,mt-Nd4,0.008428068356698997,1.0,0.0
9,mt-Nd1,0.007619586903677349,1.0,0.0
9,mt-Nd2,0.007353994441821148,1.0,0.0
9,mt-Co1,0.007218163418362451,2.0,0.0
10,Igfn1,0.00792756433470364,1.0,1.0
10,Trpc6,0.005052487886853299,3.0,0.9166666666666667
10,Cux2,0.003880664625796108,4.0,0.8557692307692307
10,Gsg1l,0.002809741492938629,2.0,0.8557692307692307
10,Stxbp6,0.003430219863263312,4.0,0.8509615384615384
10,Cux1,0.003312647583807456,6.0,0.8349358974358974
10,Nell1,0.006605290365979394,5.0,0.7923076923076924
10,Dgkb,0.002864080038432437,18.0,0.7542735042735043
10,Ncam2,0.003558958534480745,2.0,0.23076923076923078
11,Syt6,0.003926548848713042,1.0,0.9230769230769231
11,Foxp2,0.0038134350968596653,8.0,0.9182692307692307
11,Nrp1,0.0048043707275542274,4.0,0.9110576923076923
11,Tle4,0.011803732755889276,9.0,0.9006410256410254
11,Hs3st4,0.010601410240098124,31.0,0.8976426799007443
11,Zfpm2,0.004271858866259584,15.0,0.8903846153846152
11,Sema5a,0.0043966424195291225,3.0,0.8782051282051283
11,Garnl3,0.008060992693172066,16.0,0.8617788461538461
11,Pitpnc1,0.0035193755623213157,4.0,0.7115384615384616
11,Kcnip4,0.0035273694331204243,25.0,0.42076923076923084
12,Nptx2,0.003907283679906523,1.0,1.0
12,1700016P03Rik,0.0037717068966294865,1.0,1.0
12,Grasp,0.002631994806150047,1.0,1.0
12,Bdnf,0.004790760707496323,1.0,0.9903846153846154
12,B230216N24Rik,0.006498781505567785,2.0,0.9615384615384616
12,Tsnax,0.0030332174706451517,2.0,0.9230769230769231
12,Mapk4,0.004642179060437499,7.0,0.8928571428571426
12,Pdzd2,0.0029096634736981686,4.0,0.8413461538461539
12,Cux2,0.002909223990099549,3.0,0.8205128205128205
12,Egfem1,0.0029298254056430266,14.0,0.8118131868131867
13,Onecut2,0.003422590310955893,1.0,1.0
